SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22024,1629636,0022400067,"OCT 23, 2024",CLE @ TOR,W,23,3,12,0.25,1,6,0.167,0,0,0.0,0,1,1,6,0,0,2,4,7,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22024,1629636,0022400080,"OCT 25, 2024",CLE vs. DET,W,33,5,11,0.455,3,7,0.429,0,0,0.0,0,2,2,6,1,0,3,2,13,0,1,115.0,115.0,1.116,1.116,52.1,52.1,15.0,15.0,1.500,1.500,66.0,66.0,27.0,27.0
22024,1629636,0022400090,"OCT 26, 2024",CLE @ WAS,W,24,9,11,0.818,4,5,0.8,1,1,1.0,0,2,2,5,2,0,4,4,23,17,2,122.0,122.0,1.144,1.144,50.8,50.8,22.0,22.0,3.143,3.143,50.0,50.0,51.0,51.0
22024,1629636,0022400106,"OCT 28, 2024",CLE @ NYK,W,33,12,19,0.632,5,8,0.625,5,5,1.0,1,2,3,3,2,2,3,3,34,7,1,115.0,115.0,1.202,1.202,52.9,52.9,12.0,12.0,1.714,1.714,57.0,57.0,48.0,48.0
22024,1629636,0022400118,"OCT 30, 2024",CLE vs. LAL,W,22,5,14,0.357,2,7,0.286,0,0,0.0,0,0,0,10,2,0,2,3,12,16,1,113.8,117.3,1.105,1.130,49.3,50.1,20.0,24.3,2.581,2.704,53.0,56.0,42.0,43.0
22024,1629636,0022400133,"NOV 01, 2024",CLE vs. ORL,W,29,8,16,0.5,3,9,0.333,6,6,1.0,1,2,3,4,1,1,3,5,25,10,1,107.8,113.7,1.048,1.091,48.0,50.3,14.6,16.7,2.086,2.174,50.4,56.0,38.4,39.0
22024,1629636,0022400145,"NOV 02, 2024",CLE @ MIL,W,34,5,13,0.385,1,5,0.2,0,0,0.0,2,1,3,10,0,0,0,2,11,-2,1,119.6,118.7,1.139,1.137,51.2,50.8,16.4,19.7,2.412,2.950,56.4,55.3,42.6,42.0
22024,1629636,0022400154,"NOV 04, 2024",CLE vs. MIL,W,35,15,22,0.682,7,11,0.636,2,2,1.0,1,1,2,8,0,0,2,1,39,7,1,118.7,118.3,1.144,1.147,51.3,51.7,15.8,19.7,2.568,4.214,56.7,59.3,43.0,41.0
22024,1629636,0022400175,"NOV 06, 2024",CLE @ NOP,W,30,5,10,0.5,4,6,0.667,0,0,0.0,0,1,1,9,1,1,3,2,14,14,1,116.1,120.7,1.140,1.208,51.4,54.7,17.6,21.0,2.238,2.739,59.8,67.3,42.0,41.0
22024,1629636,0022400188,"NOV 08, 2024",CLE vs. GSW,W,30,9,17,0.529,6,11,0.545,3,4,0.75,0,3,3,6,3,0,4,0,27,30,1,105.3,115.0,1.010,1.099,46.6,49.1,9.0,13.7,1.220,2.158,53.3,53.3,34.1,44.0
22024,1629636,0022400199,"NOV 09, 2024",CLE vs. BKN,W,32,8,11,0.727,2,5,0.4,2,2,1.0,0,1,1,6,1,0,3,3,20,-2,1,113.1,106.0,1.094,1.048,50.9,48.0,12.8,16.0,1.855,3.000,54.9,57.3,35.0,33.0
22024,1629636,0022400212,"NOV 11, 2024",CLE @ CHI,W,30,7,17,0.412,1,5,0.2,2,3,0.667,1,1,2,5,4,0,1,2,17,-16,1,120.3,122.3,1.121,1.159,51.4,53.2,17.1,14.7,1.921,1.692,66.4,66.7,37.2,37.0
22024,1629636,0022400220,"NOV 13, 2024",CLE @ PHI,W,34,10,16,0.625,1,4,0.25,4,5,0.8,2,3,5,6,0,0,3,2,25,11,1,114.2,110.7,1.115,1.063,51.0,47.3,15.1,12.7,2.068,2.000,56.8,56.7,37.2,39.0
22024,1629636,0022400013,"NOV 15, 2024",CLE vs. CHI,W,34,9,18,0.5,4,7,0.571,7,7,1.0,0,3,3,9,1,0,5,2,29,18,1,120.4,118.3,1.123,1.107,51.4,51.0,16.9,14.7,1.845,1.517,65.5,62.0,38.5,39.0
22024,1629636,0022400236,"NOV 17, 2024",CLE vs. CHA,W,30,7,16,0.438,2,5,0.4,9,9,1.0,0,5,5,12,0,0,2,2,25,12,1,112.8,111.7,1.099,1.073,50.3,49.1,15.7,11.0,1.880,1.269,56.7,61.3,38.3,37.0
22024,1629636,0022400021,"NOV 19, 2024",CLE @ BOS,L,31,3,21,0.143,0,6,0.0,2,2,1.0,0,2,2,7,1,1,2,0,8,-9,1,111.4,118.0,1.077,1.166,49.1,53.5,14.6,16.0,2.040,2.087,60.4,68.0,36.9,38.0
